year,nace_code,sector_name,new_companies,prev_year_count,yoy_growth,growth_category
2025,86220,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",164,506,-67.59,Decline
2025,68110,Administrative and Support Service Activities,636,1346,-52.75,Decline
2025,68203,Administrative and Support Service Activities,748,1592,-53.02,Decline
2025,68100,Administrative and Support Service Activities,1,1264,-99.92,Decline
2025,70200,"Agriculture, Forestry and Fishing",6190,13152,-52.93,Decline
2025,70220,"Agriculture, Forestry and Fishing",70,12475,-99.44,Decline
2025,82100,Manufacturing,1995,4091,-51.23,Decline
2025,68310,Activities of Extraterrestrial Organizations And Bodies,501,1035,-51.59,Decline
2025,68311,Activities of Extraterrestrial Organizations And Bodies,6,987,-99.39,Decline
2025,82110,Manufacturing,20,3793,-99.47,Decline
2025,64190,Construction,4,14,-71.43,Decline
2025,42110,Manufacturing,196,452,-56.64,Decline
2025,52100,Manufacturing,55,159,-65.41,Decline
2025,69109,"Arts, Sports and Recreation",288,567,-49.21,Decline
2025,52230,Manufacturing,28,57,-50.88,Decline
2025,55300,Transportation and Storage,13,29,-55.17,Decline
2025,71113,Manufacturing,410,803,-48.94,Decline
2025,87999,Administrative and Support Service Activities,4,10,-60.0,Decline
2025,84114,Construction,4,1,300.0,Growth
2025,90202,"Agriculture, Forestry and Fishing",201,621,-67.63,Decline
2025,90012,Activities of Extraterrestrial Organizations And Bodies,2,584,-99.66,Decline
2025,10111,"Agriculture, Forestry and Fishing",23,71,-67.61,Decline
2025,46832,Real Estate Activities,43,81,-46.91,Decline
2025,2200,Manufacturing,114,208,-45.19,Decline
2025,35300,Transportation and Storage,5,8,-37.5,Decline
2025,35150,Transportation and Storage,94,231,-59.31,Decline
2025,91410,Manufacturing,7,27,-74.07,Decline
2025,91420,Manufacturing,8,20,-60.0,Decline
2025,93293,Manufacturing,18,34,-47.06,Decline
2025,46810,Real Estate Activities,21,57,-63.16,Decline
2025,46710,Activities of Extraterrestrial Organizations And Bodies,1,54,-98.15,Decline
2025,93292,Manufacturing,8,44,-81.82,Decline
2025,74302,Construction,59,2,2850.0,Growth
2025,71209,Manufacturing,369,716,-48.46,Decline
2025,46872,Real Estate Activities,19,23,-17.39,Decline
2025,47631,Activities of Extraterrestrial Organizations And Bodies,7,6,16.67,Growth
2025,47783,Administrative and Support Service Activities,96,165,-41.82,Decline
2025,96999,"Professional, Scientific and Technical Activities",1782,3505,-49.16,Decline
2025,96099,"Publishing, Broadcasting, Content Production, Distribution Activities",15,3391,-99.56,Decline
2025,1480,Manufacturing,143,243,-41.15,Decline
2025,1490,Manufacturing,1,236,-99.58,Decline
2025,77399,"Professional, Scientific and Technical Activities",164,296,-44.59,Decline
2025,73120,Manufacturing,198,377,-47.48,Decline
2025,81100,Manufacturing,231,525,-56.0,Decline
2025,56309,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",148,287,-48.43,Decline
2025,52210,Manufacturing,307,460,-33.26,Decline
2025,56112,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",1630,3311,-50.77,Decline
2025,56102,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",16,3039,-99.47,Decline
2025,94910,Transportation and Storage,10,21,-52.38,Decline
2025,46216,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",10,31,-67.74,Decline
2025,47639,Activities of Extraterrestrial Organizations And Bodies,170,298,-42.95,Decline
2025,47640,Activities of Extraterrestrial Organizations And Bodies,137,497,-72.43,Decline
2025,38220,Administrative and Support Service Activities,1,1,0.0,Stable
2025,68204,Administrative and Support Service Activities,100,243,-58.85,Decline
2025,77210,"Professional, Scientific and Technical Activities",196,415,-52.77,Decline
2025,47784,Administrative and Support Service Activities,446,940,-52.55,Decline
2025,91210,Manufacturing,15,20,-25.0,Decline
2025,85591,Accommodation and Food Service Activities,14,25,-44.0,Decline
2025,84115,Construction,4,1,300.0,Growth
2025,56111,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",923,1859,-50.35,Decline
2025,56101,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",7,1684,-99.58,Decline
2025,77229,"Professional, Scientific and Technical Activities",187,473,-60.47,Decline
2025,77299,"Professional, Scientific and Technical Activities",2,444,-99.55,Decline
2025,77110,"Professional, Scientific and Technical Activities",239,535,-55.33,Decline
2025,84112,Construction,7,55,-87.27,Decline
2025,73110,Manufacturing,1643,3107,-47.12,Decline
2025,85599,Accommodation and Food Service Activities,3636,6917,-47.43,Decline
2025,47781,Administrative and Support Service Activities,369,1251,-70.5,Decline
2025,90391,"Agriculture, Forestry and Fishing",541,1153,-53.08,Decline
2025,47990,Administrative and Support Service Activities,8,1107,-99.28,Decline
2025,55204,Transportation and Storage,92,270,-65.93,Decline
2025,68201,Administrative and Support Service Activities,610,1520,-59.87,Decline
2025,33200,Manufacturing,258,609,-57.64,Decline
2025,1500,Manufacturing,549,591,-7.11,Decline
2025,82300,Manufacturing,967,2013,-51.96,Decline
2025,49410,Other Service Activities,871,1644,-47.02,Decline
2025,43990,"Water Supply; Sewerage, Waste Management and Remediation Activities",1600,3771,-57.57,Decline
2025,43999,"Water Supply; Sewerage, Waste Management and Remediation Activities",14,2848,-99.51,Decline
2025,90032,Activities of Extraterrestrial Organizations And Bodies,6,741,-99.19,Decline
2025,42919,Manufacturing,11,41,-73.17,Decline
2025,39000,"Arts, Sports and Recreation",22,75,-70.67,Decline
2025,46190,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",712,1830,-61.09,Decline
2025,93291,Manufacturing,47,69,-31.88,Decline
2025,77221,"Professional, Scientific and Technical Activities",58,111,-47.75,Decline
2025,49500,Other Service Activities,8,24,-66.67,Decline
2025,85203,Transportation and Storage,1,1,0.0,Stable
2025,79901,Activities of Extraterrestrial Organizations And Bodies,223,381,-41.47,Decline
2025,90312,"Agriculture, Forestry and Fishing",32,61,-47.54,Decline
2025,11010,Manufacturing,27,47,-42.55,Decline
2025,11040,Manufacturing,15,22,-31.82,Decline
2025,47251,"Professional, Scientific and Technical Activities",228,447,-48.99,Decline
2025,18120,Administrative and Support Service Activities,206,298,-30.87,Decline
2025,77223,"Professional, Scientific and Technical Activities",86,173,-50.29,Decline
2025,68321,Activities of Extraterrestrial Organizations And Bodies,217,638,-65.99,Decline
2025,77293,"Professional, Scientific and Technical Activities",1,164,-99.39,Decline
2025,68322,Activities of Extraterrestrial Organizations And Bodies,292,787,-62.9,Decline
2025,47521,"Professional, Scientific and Technical Activities",102,185,-44.86,Decline
2025,46130,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",134,342,-60.82,Decline
2025,47761,Administrative and Support Service Activities,297,468,-36.54,Decline
2025,47621,Activities of Extraterrestrial Organizations And Bodies,97,220,-55.91,Decline
2025,88919,Activities of Extraterrestrial Organizations And Bodies,23,60,-61.67,Decline
2025,47620,Activities of Extraterrestrial Organizations And Bodies,1,205,-99.51,Decline
2025,47120,"Professional, Scientific and Technical Activities",3774,6760,-44.17,Decline
2025,46180,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",595,1433,-58.48,Decline
2025,47786,Administrative and Support Service Activities,3,771,-99.61,Decline
2025,99000,"Arts, Sports and Recreation",3,12,-75.0,Decline
2025,56210,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",1060,2214,-52.12,Decline
2025,46170,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",117,340,-65.59,Decline
2025,90393,"Agriculture, Forestry and Fishing",388,855,-54.62,Decline
2025,90023,Activities of Extraterrestrial Organizations And Bodies,2,833,-99.76,Decline
2025,85510,Accommodation and Food Service Activities,1739,3282,-47.01,Decline
2025,90311,"Agriculture, Forestry and Fishing",24,54,-55.56,Decline
2025,47252,"Professional, Scientific and Technical Activities",321,551,-41.74,Decline
2025,79120,"Arts, Sports and Recreation",134,181,-25.97,Decline
2025,55201,Transportation and Storage,1,1,0.0,Stable
2025,93199,Manufacturing,748,1563,-52.14,Decline
2025,1471,Manufacturing,29,47,-38.3,Decline
2025,47650,Activities of Extraterrestrial Organizations And Bodies,2,211,-99.05,Decline
2025,61900,Manufacturing,32,174,-81.61,Decline
2025,42211,Manufacturing,65,167,-61.08,Decline
2025,81300,Manufacturing,1929,3528,-45.32,Decline
2025,43410,Activities of Extraterrestrial Organizations And Bodies,973,1874,-48.08,Decline
2025,43910,"Water Supply; Sewerage, Waste Management and Remediation Activities",897,3087,-70.94,Decline
2025,88994,Activities of Extraterrestrial Organizations And Bodies,36,82,-56.1,Decline
2025,47742,Administrative and Support Service Activities,57,133,-57.14,Decline
2025,77394,"Professional, Scientific and Technical Activities",8,10,-20.0,Decline
2025,47789,Administrative and Support Service Activities,862,1380,-37.54,Decline
2025,47782,Administrative and Support Service Activities,9,126,-92.86,Decline
2025,78200,Administrative and Support Service Activities,132,303,-56.44,Decline
2025,78300,Activities of Extraterrestrial Organizations And Bodies,2,228,-99.12,Decline
2025,78100,Administrative and Support Service Activities,244,573,-57.42,Decline
2025,94991,Transportation and Storage,8,32,-75.0,Decline
2025,85593,Accommodation and Food Service Activities,198,463,-57.24,Decline
2025,55209,Transportation and Storage,108,209,-48.33,Decline
2025,93210,Manufacturing,6,17,-64.71,Decline
2025,55202,Transportation and Storage,1,10,-90.0,Decline
2025,55900,"Publishing, Broadcasting, Content Production, Distribution Activities",29,51,-43.14,Decline
2025,85312,Transportation and Storage,1,,,New Sector
2025,55100,Transportation and Storage,60,188,-68.09,Decline
2025,72200,Manufacturing,66,108,-38.89,Decline
2025,85592,Accommodation and Food Service Activities,679,1402,-51.57,Decline
2025,91220,Manufacturing,4,9,-55.56,Decline
2025,1300,Manufacturing,1,7,-85.71,Decline
2025,85401,Activities of Extraterrestrial Organizations And Bodies,2,8,-75.0,Decline
2025,85402,Activities of Extraterrestrial Organizations And Bodies,1,3,-66.67,Decline
2025,72109,Manufacturing,100,199,-49.75,Decline
2025,72190,Manufacturing,1,189,-99.47,Decline
2025,91120,Manufacturing,1,7,-85.71,Decline
2025,94120,Construction,19,56,-66.07,Decline
2025,10850,Mining and Quarrying,86,175,-50.86,Decline
2025,75000,Transportation and Storage,225,521,-56.81,Decline
2025,1110,Manufacturing,485,439,10.48,Growth
2025,47716,Administrative and Support Service Activities,625,1074,-41.81,Decline
2025,1130,Manufacturing,323,309,4.53,Growth
2025,47793,Administrative and Support Service Activities,164,247,-33.6,Decline
2025,47792,Administrative and Support Service Activities,95,158,-39.87,Decline
2025,96102,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",59,111,-46.85,Decline
2025,77224,"Professional, Scientific and Technical Activities",38,95,-60.0,Decline
2025,81210,Manufacturing,1419,2850,-50.21,Decline
2025,43995,"Water Supply; Sewerage, Waste Management and Remediation Activities",3,1114,-99.73,Decline
2025,68202,Administrative and Support Service Activities,11,33,-66.67,Decline
2025,87992,Administrative and Support Service Activities,3,2,50.0,Growth
2025,49320,"Arts, Sports and Recreation",335,1706,-80.36,Decline
2025,43341,Manufacturing,1007,1754,-42.59,Decline
2025,43333,Manufacturing,265,462,-42.64,Decline
2025,49390,"Arts, Sports and Recreation",127,734,-82.7,Decline
2025,47519,"Professional, Scientific and Technical Activities",57,82,-30.49,Decline
2025,88102,Administrative and Support Service Activities,3,4,-25.0,Decline
2025,49420,Other Service Activities,198,366,-45.9,Decline
2025,43320,Manufacturing,1813,3474,-47.81,Decline
2025,43221,Manufacturing,1168,2418,-51.7,Decline
2025,88912,Activities of Extraterrestrial Organizations And Bodies,9,14,-35.71,Decline
2025,95290,Transportation and Storage,364,669,-45.59,Decline
2025,63920,"Water Supply; Sewerage, Waste Management and Remediation Activities",949,2384,-60.19,Decline
2025,63990,"Water Supply; Sewerage, Waste Management and Remediation Activities",12,2287,-99.48,Decline
2025,47712,Administrative and Support Service Activities,122,176,-30.68,Decline
2025,47511,"Professional, Scientific and Technical Activities",54,63,-14.29,Decline
2025,47711,Administrative and Support Service Activities,227,406,-44.09,Decline
2025,47210,"Professional, Scientific and Technical Activities",316,817,-61.32,Decline
2025,70100,"Agriculture, Forestry and Fishing",791,1375,-42.47,Decline
2025,62100,Manufacturing,1885,3677,-48.74,Decline
2025,62200,Manufacturing,2676,5587,-52.1,Decline
2025,62020,Manufacturing,27,5176,-99.48,Decline
2025,62010,Manufacturing,19,3543,-99.46,Decline
2025,90022,Activities of Extraterrestrial Organizations And Bodies,2,321,-99.38,Decline
2025,38320,Activities of Extraterrestrial Organizations And Bodies,3,11,-72.73,Decline
2025,86109,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",1,10,-90.0,Decline
2025,53100,Manufacturing,70,136,-48.53,Decline
2025,74201,Construction,1177,2342,-49.74,Decline
2025,45310,Transportation and Storage,2,186,-98.92,Decline
2025,28300,Activities of Extraterrestrial Organizations And Bodies,24,30,-20.0,Decline
2025,71111,Manufacturing,570,1366,-58.27,Decline
2025,42220,Manufacturing,275,667,-58.77,Decline
2025,25210,Transportation and Storage,16,31,-48.39,Decline
2025,43211,Manufacturing,1879,3938,-52.29,Decline
2025,25300,Transportation and Storage,1,22,-95.45,Decline
2025,87991,Administrative and Support Service Activities,1,1,0.0,Stable
2025,47110,"Professional, Scientific and Technical Activities",637,1090,-41.56,Decline
2025,47112,"Professional, Scientific and Technical Activities",2,652,-99.69,Decline
2025,63100,Manufacturing,892,1809,-50.69,Decline
2025,63110,Manufacturing,11,1753,-99.37,Decline
2025,46900,"Professional, Scientific and Technical Activities",79,155,-49.03,Decline
2025,60200,"Agriculture, Forestry and Fishing",25,31,-19.35,Decline
2025,60100,"Agriculture, Forestry and Fishing",20,51,-60.78,Decline
2025,92000,Manufacturing,83,160,-48.13,Decline
2025,81230,Manufacturing,760,1236,-38.51,Decline
2025,81290,Manufacturing,7,1181,-99.41,Decline
2025,62030,Manufacturing,9,1161,-99.22,Decline
2025,85699,Accommodation and Food Service Activities,265,489,-45.81,Decline
2025,85609,Accommodation and Food Service Activities,3,473,-99.37,Decline
2025,64929,Transportation and Storage,9,19,-52.63,Decline
2025,62900,Manufacturing,1299,2418,-46.28,Decline
2025,62090,Manufacturing,9,2330,-99.61,Decline
2025,69103,"Arts, Sports and Recreation",23,54,-57.41,Decline
2025,84250,Construction,4,4,0.0,Stable
2025,49310,"Arts, Sports and Recreation",148,316,-53.16,Decline
2025,95312,Transportation and Storage,147,233,-36.91,Decline
2025,45202,Transportation and Storage,2,219,-99.09,Decline
2025,66110,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",6,14,-57.14,Decline
2025,85319,Transportation and Storage,4,2,100.0,Growth
2025,96301,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",36,62,-41.94,Decline
2025,86104,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",2,2,0.0,Stable
2025,87209,"Professional, Scientific and Technical Activities",2,1,100.0,Growth
2025,84249,Construction,3,3,0.0,Stable
2025,85520,Accommodation and Food Service Activities,334,646,-48.3,Decline
2025,90120,"Agriculture, Forestry and Fishing",479,765,-37.39,Decline
2025,86103,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",1,1,0.0,Stable
2025,69201,"Arts, Sports and Recreation",316,675,-53.19,Decline
2025,69202,"Arts, Sports and Recreation",19,346,-94.51,Decline
2025,94994,Transportation and Storage,4,42,-90.48,Decline
2025,1610,Manufacturing,537,928,-42.13,Decline
2025,1410,Manufacturing,111,149,-25.5,Decline
2025,51210,Manufacturing,12,30,-60.0,Decline
2025,46319,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",48,93,-48.39,Decline
2025,46220,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",40,87,-54.02,Decline
2025,47730,Administrative and Support Service Activities,96,214,-55.14,Decline
2025,84239,Construction,1,2,-50.0,Decline
2025,84242,Construction,3,1,200.0,Growth
2025,85314,Transportation and Storage,2,6,-66.67,Decline
2025,69102,"Arts, Sports and Recreation",56,118,-52.54,Decline
2025,22120,Manufacturing,5,7,-28.57,Decline
2025,58120,Administrative and Support Service Activities,5,8,-37.5,Decline
2025,58130,Administrative and Support Service Activities,23,52,-55.77,Decline
2025,84220,Construction,2,2,0.0,Stable
2025,46322,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",11,30,-63.33,Decline
2025,74999,Transportation and Storage,954,2152,-55.67,Decline
2025,74909,Transportation and Storage,13,2082,-99.38,Decline
2025,55203,Transportation and Storage,241,517,-53.38,Decline
2025,28110,Administrative and Support Service Activities,3,13,-76.92,Decline
2025,45112,Transportation and Storage,8,575,-98.61,Decline
2025,45111,Transportation and Storage,6,440,-98.64,Decline
2025,43110,Manufacturing,478,1022,-53.23,Decline
2025,43120,Manufacturing,1330,2572,-48.29,Decline
2025,25110,Transportation and Storage,239,587,-59.28,Decline
2025,20590,Mining and Quarrying,15,35,-57.14,Decline
2025,46620,Financial and Insurance Activities,16,41,-60.98,Decline
2025,46720,Activities of Extraterrestrial Organizations And Bodies,77,222,-65.32,Decline
2025,23610,"Water Supply; Sewerage, Waste Management and Remediation Activities",15,27,-44.44,Decline
2025,46831,Real Estate Activities,88,169,-47.93,Decline
2025,46731,Activities of Extraterrestrial Organizations And Bodies,1,163,-99.39,Decline
2025,43222,Manufacturing,917,1962,-53.26,Decline
2025,43310,Manufacturing,734,1314,-44.14,Decline
2025,16110,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",95,221,-57.01,Decline
2025,47524,"Professional, Scientific and Technical Activities",9,15,-40.0,Decline
2025,16100,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",1,220,-99.55,Decline
2025,46842,Real Estate Activities,30,71,-57.75,Decline
2025,46841,Real Estate Activities,16,35,-54.29,Decline
2025,52250,Manufacturing,288,765,-62.35,Decline
2025,46341,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",73,145,-49.66,Decline
2025,46820,Real Estate Activities,32,44,-27.27,Decline
2025,64921,Transportation and Storage,5,12,-58.33,Decline
2025,46349,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",94,200,-53.0,Decline
2025,46431,Financial and Insurance Activities,28,66,-57.58,Decline
2025,50200,"Agriculture, Forestry and Fishing",18,59,-69.49,Decline
2025,47811,Administrative and Support Service Activities,919,1673,-45.07,Decline
2025,95311,Transportation and Storage,621,1201,-48.29,Decline
2025,45201,Transportation and Storage,5,1134,-99.56,Decline
2025,45113,Transportation and Storage,11,1549,-99.29,Decline
2025,81220,Manufacturing,1765,3308,-46.64,Decline
2025,79110,"Arts, Sports and Recreation",136,236,-42.37,Decline
2025,46321,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",27,44,-38.64,Decline
2025,10820,Mining and Quarrying,78,116,-32.76,Decline
2025,31001,Manufacturing,87,166,-47.59,Decline
2025,25510,Accommodation and Food Service Activities,79,189,-58.2,Decline
2025,43240,Manufacturing,991,1985,-50.08,Decline
2025,31010,Manufacturing,5,159,-96.86,Decline
2025,43299,Manufacturing,9,1901,-99.53,Decline
2025,25610,Accommodation and Food Service Activities,13,197,-93.4,Decline
2025,46450,Financial and Insurance Activities,61,130,-53.08,Decline
2025,46412,Financial and Insurance Activities,11,16,-31.25,Decline
2025,46496,Financial and Insurance Activities,30,33,-9.09,Decline
2025,86230,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",95,331,-71.3,Decline
2025,66199,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",231,517,-55.32,Decline
2025,46331,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",12,40,-70.0,Decline
2025,47890,Administrative and Support Service Activities,4,787,-99.49,Decline
2025,52290,Manufacturing,8,720,-98.89,Decline
2025,50400,Activities of Extraterrestrial Organizations And Bodies,24,50,-52.0,Decline
2025,41002,Manufacturing,387,865,-55.26,Decline
2025,41202,Manufacturing,4,818,-99.51,Decline
2025,11020,Manufacturing,18,41,-56.1,Decline
2025,77120,"Professional, Scientific and Technical Activities",61,122,-50.0,Decline
2025,46441,Financial and Insurance Activities,5,16,-68.75,Decline
2025,47553,"Professional, Scientific and Technical Activities",120,229,-47.6,Decline
2025,47593,"Professional, Scientific and Technical Activities",2,219,-99.09,Decline
2025,28150,Administrative and Support Service Activities,4,7,-42.86,Decline
2025,28120,Administrative and Support Service Activities,7,11,-36.36,Decline
2025,43343,Manufacturing,161,298,-45.97,Decline
2025,1191,Manufacturing,74,82,-9.76,Decline
2025,10720,Mining and Quarrying,131,227,-42.29,Decline
2025,10711,Mining and Quarrying,24,63,-61.9,Decline
2025,25120,Transportation and Storage,52,139,-62.59,Decline
2025,24200,Construction,20,36,-44.44,Decline
2025,1220,Manufacturing,2,3,-33.33,Decline
2025,1430,Manufacturing,119,260,-54.23,Decline
2025,47300,"Professional, Scientific and Technical Activities",60,85,-29.41,Decline
2025,66220,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",118,249,-52.61,Decline
2025,28220,Administrative and Support Service Activities,5,18,-72.22,Decline
2025,25639,Accommodation and Food Service Activities,8,11,-27.27,Decline
2025,32123,Manufacturing,182,333,-45.35,Decline
2025,1199,Manufacturing,96,103,-6.8,Decline
2025,47552,"Professional, Scientific and Technical Activities",42,96,-56.25,Decline
2025,47540,"Professional, Scientific and Technical Activities",80,177,-54.8,Decline
2025,68312,Activities of Extraterrestrial Organizations And Bodies,1,561,-99.82,Decline
2025,27510,"Professional, Scientific and Technical Activities",11,16,-31.25,Decline
2025,24510,Activities of Extraterrestrial Organizations And Bodies,1,3,-66.67,Decline
2025,23150,Manufacturing,11,23,-52.17,Decline
2025,32500,Manufacturing,49,107,-54.21,Decline
2025,46649,Financial and Insurance Activities,70,164,-57.32,Decline
2025,46699,Financial and Insurance Activities,1,152,-99.34,Decline
2025,25402,Activities of Extraterrestrial Organizations And Bodies,18,20,-10.0,Decline
2025,25401,Activities of Extraterrestrial Organizations And Bodies,81,172,-52.91,Decline
2025,25501,Accommodation and Food Service Activities,1,170,-99.41,Decline
2025,23120,Manufacturing,12,21,-42.86,Decline
2025,26120,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",8,10,-20.0,Decline
2025,74140,Construction,466,778,-40.1,Decline
2025,74109,Construction,3,662,-99.55,Decline
2025,24100,Construction,2,20,-90.0,Decline
2025,52249,Manufacturing,43,101,-57.43,Decline
2025,43331,Manufacturing,775,1346,-42.42,Decline
2025,73300,Manufacturing,2364,5433,-56.49,Decline
2025,70210,"Agriculture, Forestry and Fishing",30,5237,-99.43,Decline
2025,47713,Administrative and Support Service Activities,80,144,-44.44,Decline
